station,year,month,hour,variable,avg_value
20,2024,5,19,RAIN,0.0
20,2024,5,19,RH,79.831425
20,2024,5,19,So2,27.19805225
20,2024,5,19,WDD,104.01533500000001
20,2024,5,19,WDS,1.67065975
20,2024,5,20,PM10,13.33426675
20,2024,5,20,PM2,7.2950305
20,2024,5,20,RAIN,0.0
20,2024,5,20,RH,82.03972
20,2024,5,20,So2,28.772686
20,2024,5,20,WDD,120.633075
20,2024,5,20,WDS,1.2469095
20,2024,5,21,PM10,16.20947633333333
20,2024,5,21,PM2,8.669381666666666
20,2024,5,21,RAIN,0.0
20,2024,5,21,RH,82.99044333333333
20,2024,5,21,So2,23.258945666666666
20,2024,5,21,WDD,135.0551
20,2024,5,21,WDS,1.0626156666666666
20,2024,5,22,PM10,16.217351666666666
20,2024,5,22,PM2,8.3384725
20,2024,5,22,RAIN,0.0
20,2024,5,22,RH,84.6453
20,2024,5,22,So2,20.564522166666666
20,2024,5,22,WDD,138.40028333333333
20,2024,5,22,WDS,1.0659026666666667
20,2025,1,0,PM10,23.670340285714285
20,2025,1,0,PM2,5.572238857142858
20,2025,1,0,RAIN,0.005079428571428571
20,2025,1,0,RH,84.84642999999998
20,2025,1,0,So2,17.25442442857143
20,2025,1,0,WDD,116.47703142857144
20,2025,1,0,WDS,0.8389482857142857
20,2025,1,1,PM10,16.953111142857143
20,2025,1,1,PM2,5.001648
20,2025,1,1,RAIN,0.0011904285714285714
20,2025,1,1,RH,85.14966285714286
20,2025,1,1,So2,4.537312142857142
20,2025,1,1,WDD,140.20998714285716
20,2025,1,1,WDS,0.777619
20,2025,1,2,PM10,15.312844142857143
20,2025,1,2,PM2,4.974519142857143
20,2025,1,2,RAIN,0.04115071428571428
20,2025,1,2,RH,85.39392714285714
20,2025,1,2,So2,5.205262142857143
20,2025,1,2,WDD,137.42395271428572
20,2025,1,2,WDS,0.878512
20,2025,1,3,PM10,13.335698714285714
20,2025,1,3,PM2,5.951842428571429
20,2025,1,3,RAIN,0.0
20,2025,1,3,RH,86.00962285714286
20,2025,1,3,So2,5.821325857142858
20,2025,1,3,WDD,119.19017428571429
20,2025,1,3,WDS,0.8365475714285714
20,2025,1,4,PM10,12.078811
20,2025,1,4,PM2,6.092130571428571
20,2025,1,4,RAIN,0.0
20,2025,1,4,RH,85.47506
20,2025,1,4,So2,5.537993285714285
20,2025,1,4,WDD,81.30733857142857
20,2025,1,4,WDS,0.8481547142857142
20,2025,1,5,PM10,12.061618999999999
20,2025,1,5,PM2,6.147623
20,2025,1,5,RAIN,0.0
20,2025,1,5,RH,85.12726285714287
20,2025,1,5,So2,6.1106940000000005
20,2025,1,5,WDD,37.64622514285714
20,2025,1,5,WDS,0.8905357142857142
20,2025,1,6,PM10,12.895779285714285
20,2025,1,6,PM2,5.631601285714285
20,2025,1,6,RAIN,0.0
20,2025,1,6,RH,84.94436285714286
20,2025,1,6,So2,6.106776857142856
20,2025,1,6,WDD,43.393031428571426
20,2025,1,6,WDS,0.923135
20,2025,1,7,PM10,11.871847571428573
20,2025,1,7,PM2,5.911824857142856
20,2025,1,7,RAIN,0.0
20,2025,1,7,RH,85.47599285714286
20,2025,1,7,So2,6.012783857142857
20,2025,1,7,WDD,85.05764428571429
20,2025,1,7,WDS,0.8857342857142857
20,2025,1,8,PM10,15.119556125
20,2025,1,8,PM2,6.6294238750000005
20,2025,1,8,RAIN,0.0
20,2025,1,8,RH,82.6205925
20,2025,1,8,So2,6.114038
20,2025,1,8,WDD,77.7373975
20,2025,1,8,WDS,1.288784625
20,2025,1,9,PM10,14.238000125
20,2025,1,9,PM2,6.350671875
20,2025,1,9,RAIN,0.0
20,2025,1,9,RH,80.09814375
20,2025,1,9,So2,6.306743
20,2025,1,9,WDD,35.12804375
20,2025,1,9,WDS,2.026822875
20,2025,1,10,PM10,11.796389625
20,2025,1,10,PM2,5.183175875
20,2025,1,10,RAIN,0.0
20,2025,1,10,RH,76.45875
20,2025,1,10,So2,6.70232575
20,2025,1,10,WDD,32.10714125
20,2025,1,10,WDS,2.594375
20,2025,1,11,PM10,9.6523345
20,2025,1,11,PM2,4.2825435
20,2025,1,11,RAIN,0.000416625
20,2025,1,11,RH,71.43489749999999
20,2025,1,11,So2,6.573094125
20,2025,1,11,WDD,30.366079875
20,2025,1,11,WDS,3.02614575
20,2025,1,12,PM10,7.273653625
20,2025,1,12,PM2,3.798883875
20,2025,1,12,RAIN,0.000416625
20,2025,1,12,RH,67.95644125
20,2025,1,12,So2,6.5733109999999995
20,2025,1,12,WDD,33.615926625
20,2025,1,12,WDS,3.12201375
20,2025,1,13,PM10,5.994378875
20,2025,1,13,PM2,3.783716375
20,2025,1,13,RAIN,0.0
20,2025,1,13,RH,64.4371875
20,2025,1,13,So2,6.7884225
20,2025,1,13,WDD,22.275636249999998
20,2025,1,13,WDS,3.37472225
20,2025,1,14,PM10,4.958737111111111
20,2025,1,14,PM2,3.3260241111111113
20,2025,1,14,RAIN,0.0
20,2025,1,14,RH,63.61023111111111
20,2025,1,14,So2,6.850314666666667
20,2025,1,14,WDD,22.423409444444445
20,2025,1,14,WDS,3.3731174444444445
20,2025,1,15,PM10,6.701155571428572
20,2025,1,15,PM2,3.9981785714285714
20,2025,1,15,RAIN,0.002145857142857143
20,2025,1,15,RH,62.25785714285714
20,2025,1,15,So2,7.531063714285714
20,2025,1,15,WDD,76.32634428571428
20,2025,1,15,WDS,3.1465080000000003
20,2025,1,16,PM10,10.653924142857141
20,2025,1,16,PM2,4.865227857142857
20,2025,1,16,RAIN,0.0
20,2025,1,16,RH,62.408075714285715
20,2025,1,16,So2,7.380854714285715
20,2025,1,16,WDD,36.782875714285716
20,2025,1,16,WDS,2.970139
20,2025,1,17,PM10,8.835819714285714
20,2025,1,17,PM2,4.809088
20,2025,1,17,RAIN,0.0
20,2025,1,17,RH,63.21591
20,2025,1,17,So2,7.118166571428572
20,2025,1,17,WDD,39.93417
20,2025,1,17,WDS,2.382103
20,2025,1,18,PM10,8.178894285714286
20,2025,1,18,PM2,4.326273571428572
20,2025,1,18,RAIN,0.0014682857142857143
20,2025,1,18,RH,68.07728285714286
20,2025,1,18,So2,7.052791142857144
20,2025,1,18,WDD,103.07477285714286
20,2025,1,18,WDS,1.8256748571428572
20,2025,1,19,PM10,10.107577857142857
20,2025,1,19,PM2,3.9272244285714284
20,2025,1,19,RAIN,0.0
20,2025,1,19,RH,75.66438428571428
20,2025,1,19,So2,6.841331428571428
20,2025,1,19,WDD,77.18074214285714
20,2025,1,19,WDS,1.2007935714285713
20,2025,1,20,PM10,27.282718333333335
20,2025,1,20,PM2,3.9803599999999997
20,2025,1,20,RAIN,0.0
20,2025,1,20,RH,79.02227
20,2025,1,20,So2,7.834028166666666
20,2025,1,20,WDD,133.80046916666666
20,2025,1,20,WDS,1.0679398333333332
20,2025,1,21,PM10,47.57869328571429
20,2025,1,21,PM2,4.785228857142857
20,2025,1,21,RAIN,0.0
20,2025,1,21,RH,80.18186857142858
20,2025,1,21,So2,14.618698714285713
20,2025,1,21,WDD,136.36273285714284
20,2025,1,21,WDS,0.8425072857142857
20,2025,1,22,PM10,22.470278571428572
20,2025,1,22,PM2,4.674576285714286
20,2025,1,22,RAIN,0.0
20,2025,1,22,RH,83.32005714285715
20,2025,1,22,So2,17.651092857142856
20,2025,1,22,WDD,76.61431857142858
20,2025,1,22,WDS,0.8402381428571427
20,2025,2,0,PM10,31.213133157894738
20,2025,2,0,PM2,18.40510936842105
20,2025,2,0,RAIN,0.05877926315789474
20,2025,2,0,RH,86.20931263157895
20,2025,2,0,So2,11.047253705882353
20,2025,2,0,WDD,68.6477497368421
20,2025,2,0,WDS,0.8871637894736842
20,2025,2,1,PM10,30.703405350000004
20,2025,2,1,PM2,18.38048465
20,2025,2,1,RAIN,0.2496875
20,2025,2,1,RH,86.6440685
20,2025,2,1,So2,9.25915347368421
20,2025,2,1,WDD,172.10562175
20,2025,2,1,WDS,0.8998472
20,2025,2,2,PM10,28.4463348
20,2025,2,2,PM2,18.565158349999997
20,2025,2,2,RAIN,0.0
20,2025,2,2,RH,87.0793195
20,2025,2,2,So2,9.07124945
20,2025,2,2,WDD,111.61420605
20,2025,2,2,WDS,0.8110554999999999
20,2025,2,3,PM10,25.296953333333335
20,2025,2,3,PM2,17.483011142857144
20,2025,2,3,RAIN,0.0
20,2025,2,3,RH,87.03281904761904
20,2025,2,3,So2,8.631975047619047
20,2025,2,3,WDD,123.05341633333335
20,2025,2,3,WDS,0.8905486190476191
20,2025,2,4,PM10,24.484541380952383
20,2025,2,4,PM2,16.53969461904762
