IDExpediente,Estado,Regional,Departamento,Municipio,Vereda,Class,TipoCombustible,TipoFuenteEmision,Cuenca,latitude,longitude,estacion_cercana_1,distancia_cercana_1,estacion_cercana_2,distancia_cercana_2,es_cercana
181110.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.531258660037451,-74.1445867571135,8,0.29,4,9.11,True
183514.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Otros,Trituradora,Río Bogotá,4.66799319038012,-74.27412284038506,6,7.18,19,7.25,False
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.062846259618801,-73.95421250947518,12,2.67,10,7.96,True
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.063108431682171,-73.95382468213964,12,2.72,10,8.01,True
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.063470229451343,-73.95423944557243,12,2.69,10,8.01,True
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.063859128461356,-73.95450991481249,12,2.68,10,8.02,True
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.063298514179143,-73.95477154530808,12,2.63,10,7.96,True
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.062294659255415,-73.95432083082554,12,2.64,10,7.91,True
183560.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Tibitó,,Carbón,Caldera,Río Bogotá,4.986453623175652,-73.96796882637689,15,1.16,10,4.66,True
183976.0,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,Patio Bonito,,Carbón,Horno,Río Bogotá,5.141135929250273,-73.8982156143763,1,1.37,20,6.76,True
185276.0,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,Canelón,,Carbón,Caldera,Río Bogotá,4.921062492435692,-74.03828759452762,13,3.65,17,6.77,True
